Theme_Final;Num_Segments;Media Views;Visitors;Returning Visits;Bounces;Total Play Duration (s);Avg Play Duration (s);New Visit Rate %;Acquisition_Score;Retention_Score;Engagement_Score;Acquisition_Score_norm;Retention_Score_norm;Engagement_Score_norm;Priority_Score;;;;;;;;;;
Autre;68403,00;24988763,00;47393950,00;47677836,00;42898240,00;3758939682.0;632.4947568555758;15.212228995804278;7209676.204156982;47677836,00;3758939682.0;1.0;1.0;1.0;1.0;;;;;;;;;;
Info;8320,00;3696063,00;6273921,00;6361638,00;5316570,00;621050860.0;404.41860185296593;10.452582932692309;655786.7956565986;6361638,00;621050860.0;0.09095925768184744;0.13342967159835023;0.16521969292935304;0.10794742324844855;;;;;;;;;;
Musique;3055,00;946019,00;1947646,00;2002040,00;1890562,00;219692372.0;1538.7050736497545;12.869152209492636;250645.52824209497;2002040,00;219692372.0;0.03476515742795451;0.04199099975930116;0.05844530388503318;0.03765549436049317;;;;;;;;;;
Société;1673,00;663487,00;1185215,00;1206138,00;1067992,00;232440881.0;883.8762701733413;19.072414823670055;226049.12135236102;1206138,00;232440881.0;0.03135357468925231;0.025297666613895816;0.061836821195366015;0.028931211459109714;;;;;;;;;;
Humour;819,00;489378,00;672002,00;751244,00;510838,00;364426691.0;818.9157509157509;1.334957264957265;8970.93951965812;751244,00;364426691.0;0.0012442915972406116;0.015756671506651436;0.09694933194727438;0.007049243561004942;;;;;;;;;;
Sport;276,00;93922,00;193014,00;193133,00;172706,00;9587575.0;689.8405797101449;21.495398550724637;41489.12855869565;193133,00;9587575.0;0.00575464519956856;0.004050792070344803;0.0025506062376874287;0.005073103947879057;;;;;;;;;;
